drugnames	IC50	m	cmax	halflife	dose	drugclass	mw	tmax	dosinginterval	drugname	ka	vd
AZT	0.1823	0.8515	4.5	8.5	300	'NRTI'	267.2437	1	12	'AZT'	3.31530628	368.3817686
d4T	0.5524	1.1263	2.3	3.5	40	'NRTI'	224.2148	1	12	'd4T'	2.720750942	70.14423642
3TC	0.0298	1.1533	15.3	10	150	'NRTI'	229.2589	3.2	12	'3TC'	0.522692437	60.66067342
FTC	0.0079	1.2018	7.3	39	200	'NRTI'	247.249	1.5	24	'FTC'	2.648723058	310.7131083
ABC	0.0381	0.9311	10.5	21	300	'NRTI'	670.7522	1.5	12	'ABC'	2.035891419	123.9520408
ddI	0.1795	1.0676	39.4	18	400	'NRTI'	236.23	2	24	'ddI'	1.670809231	65.9714137
TDF	0.0561	0.9717	1.1	60	300	'NRTI'	635.5166	1	24	'TDF'	4.574724234	1751.922486
EFV	0.0035	1.69	12.9	35.8	600	'NNRTI'	315.677	4	24	'EFV'	0.650551805	366.8883059
NVP	0.049	1.49	25.2	21.5	400	'NNRTI'	266.303	4	24	'NVP'	0.614506088	97.25598374
ETV	0.005	1.75	1.6	41	200	'NNRTI'	435.2835	3.25	12	'ETV'	0.587335103	1480.340035
RPV	0.0105	1.83	0.506	50	25	'NNRTI'	402.8871	4.5	24	'RPV'	0.552180153	407.0920841
DRV/r	0.0265	3.55	14.8	15	600	'PI'	593.7377	3.25	12	'DRV/r'	0.540675698	138.0442324
NFV	0.236	1.88	5.1	4	750	'PI'	663.8961	4	8	'NFV'	-0.173286795	147.6725284
SQV	0.055	3.74	3.1	4.3	1200	'PI'	766.956	1	8	'SQV'	2.631920575	592.8383561
SQV/r	0.055	3.74	7.9	4.3	1000	'PI'	766.956	1	12	'SQV/r'	2.892282243	164.2039643
LPV/r	0.038	2.1	15.6	9.9	400	'PI'	628.809	4	12	'LPV/r'	0.29784134	54.22004833
ATV	0.015	2.9	3.3	6.5	400	'PI'	802.942	2	24	'ATV'	1.32699839	132.1916396
ATV/r	0.015	2.9	6.3	8.3	300	'PI'	802.942	3	24	'ATV/r'	0.780056547	53.35221917
IDV	0.055	4.5	10.9	1.8	800	'PI'	711.876	0.8	8	'IDV'	2.811197831	79.41223615
IDV/r	0.055	4.5	12.5	3.5	800	'PI'	711.876	0.8	12	'IDV/r'	3.753731714	84.58657872
TPV/r	0.25	2.55	77.6	6	500	'PI'	602.671	2.99	12	'TPV/r'	0.528360119	10.09144698
RAL	0.015	1.03	4	10	400	'II'	482.511	3	12	'RAL'	0.596671079	298.0897073
EVG	0.028	0.94	1.7	8.6	150	'II'	447.8877	4	24	'EVG'	0.495701801	166.8197321
DTG	0.07	1.2	8.75	14	50	'II'	441.3642	2.5	24	'DTG'	1.168699911	16.45396715
CAB	0.08	1.1	20.3	32	30	'II'	405.3553	1	24	'CAB'	4.442160769254151	8.800396515250390
ENF	0.0349	1.6	1.1	3.8	90	'FI'	4491.9149	4	12	'ENF'	0.175788747	9.888990546
TEST	1	1	0.0001	1	1	'TEST'	1	1	24	'TEST'	1.386294122	5000000.262
